Korea,Andong,안동시,North Gyeongsang
Korea,Ansan,안산시,Gyeonggi
Korea,Anseong,안성시,Gyeonggi
Korea,Anyang,안양시,Gyeonggi
Korea,Asan,아산시,South Chungcheong
Korea,Boryeong,보령시,South Chungcheong
Korea,Bucheon,부천시,Gyeonggi
Korea,Busan,부산광역시,none
Korea,Changwon,창원시,South Gyeongsang
Korea,Cheonan,천안시,South Chungcheong
Korea,Cheongju,청주시,North Chungcheong
Korea,Chuncheon,춘천시,Gangwon
Korea,Chungju,충주시,North Chungcheong
Korea,Daegu,대구광역시,none
Korea,Daejeon,대전광역시,none
Korea,Dangjin,당진시,South Chungcheong
Korea,Dongducheon,동두천시,Gyeonggi
Korea,Donghae,동해시,Gangwon
Korea,Gangneung,강릉시,Gangwon
Korea,Geoje,거제시,South Gyeongsang
Korea,Gimcheon,김천시,North Gyeongsang
Korea,Gimhae,김해시,South Gyeongsang
Korea,Gimje,김제시,North Jeolla
Korea,Gimpo,김포시,Gyeonggi
Korea,Gongju,공주시,South Chungcheong
Korea,Goyang,고양시,Gyeonggi
Korea,Gumi,구미시,North Gyeongsang
Korea,Gunpo,군포시,Gyeonggi
Korea,Gunsan,군산시,North Jeolla
Korea,Guri,구리시,Gyeonggi
Korea,Gwacheon,과천시,Gyeonggi
Korea,Gwangju,광주광역시,none
Korea,Gwangju,광주시,Gyeonggi
Korea,Gwangmyeong,광명시,Gyeonggi
Korea,Gwangyang,광양시,South Jeolla
Korea,Gyeongju,경주시,North Gyeongsang
Korea,Gyeongsan,경산시,North Gyeongsang
Korea,Gyeryong,계룡시,South Chungcheong
Korea,Hanam,하남시,Gyeonggi
Korea,Hwaseong,화성시,Gyeonggi
Korea,Icheon,이천시,Gyeonggi
Korea,Iksan,익산시,North Jeolla
Korea,Incheon,인천광역시,none
Korea,Jecheon,제천시,North Chungcheong
Korea,Jeongeup,정읍시,North Jeolla
Korea,Jeonju,전주시,North Jeolla
Korea,Jeju,제주시,Jeju
Korea,Jinju,진주시,South Gyeongsang
Korea,Naju,나주시,South Jeolla
Korea,Namyangju,남양주시,Gyeonggi
Korea,Namwon,남원시,North Jeolla
Korea,Nonsan,논산시,South Chungcheong
Korea,Miryang,밀양시,South Gyeongsang
Korea,Mokpo,목포시,South Jeolla
Korea,Mungyeong,문경시,North Gyeongsang
Korea,Osan,오산시,Gyeonggi
Korea,Paju,파주시,Gyeonggi
Korea,Pocheon,포천시,Gyeonggi
Korea,Pohang,포항시,North Gyeongsang
Korea,Pyeongtaek,평택시,Gyeonggi
Korea,Sacheon,사천시,South Gyeongsang
Korea,Sangju,상주시,North Gyeongsang
Korea,Samcheok,삼척시,Gangwon
Korea,Sejong,세종특별자치시,none
Korea,Seogwipo,서귀포시,Jeju
Korea,Seongnam,성남시,Gyeonggi
Korea,Seosan,서산시,South Chungcheong
Korea,Seoul,서울특별시,none
Korea,Siheung,시흥시,Gyeonggi
Korea,Sokcho,속초시,Gangwon
Korea,Suncheon,순천시,South Jeolla
Korea,Suwon,수원시,Gyeonggi
Korea,Taebaek,태백시,Gangwon
Korea,Tongyeong,통영시,South Gyeongsang
Korea,Uijeongbu,의정부시,Gyeonggi
Korea,Uiwang,의왕시,Gyeonggi
Korea,Ulsan,울산광역시,none
Korea,Wonju,원주시,Gangwon
Korea,Yangju,양주시,Gyeonggi
Korea,Yangsan,양산시,South Gyeongsang
Korea,Yeoju,여주시,Gyeonggi
Korea,Yeongcheon,영천시,North Gyeongsang
Korea,Yeongju,영주시,North Gyeongsang
Korea,Yeosu,여수시,South Jeolla
Korea,Yongin,용인시,Gyeon
Finland,Alajärvi,none,none
Finland,Alavus,none,none
Finland,Espoo,none,none
Finland,Forssa,none,none
Finland,Haapajärvi,none,none
Finland,Haapavesi,none,none
Finland,Hamina,none,none
Finland,Hanko,none,none
Finland,Harjavalta,none,none
Finland,Heinola,none,none
Finland,Helsinki,none,none
Finland,Huittinen,none,none
Finland,Hyvinkää,none,none
Finland,Hämeenlinna,none,none
Finland,Iisalmi,none,none
Finland,Ikaalinen,none,none
Finland,Imatra,none,none
Finland,Pietarsaari,none,none
Finland,Joensuu,none,none
Finland,Jyväskylä,none,none
Finland,Jämsä,none,none
Finland,Järvenpää,none,none
Finland,Kaarina,none,none
Finland,Kajaani,none,none
Finland,Kalajoki,none,none
Finland,Kangasala,none,none
Finland,Kankaanpää,none,none
Finland,Kannus,none,none
Finland,Karkkila,none,none
Finland,Kaskinen,none,none
Finland,Kauhajoki,none,none
Finland,Kauhava,none,none
Finland,Kauniainen,none,none
Finland,Kemi,none,none
Finland,Kemijärvi,none,none
Finland,Kerava,none,none
Finland,Keuruu,none,none
Finland,Kitee,none,none
Finland,Kiuruggi,none,none
Finland,Akaavesi,none,none
Finland,Kokemäki,none,none
Finland,Kokkola,none,none
Finland,Kotka,none,none
Finland,Kouvola,none,none
Finland,Kristiinankaupunk,none,nonei
Finland,Kuhmo,none,none
Finland,Kuopio,none,none
Finland,Kurikka,none,none
Finland,Kuusamo,none,none
Finland,Lahti,none,none
Finland,Laitila,none,none
Finland,Lappeenranta,none,none
Finland,Lapua,none,none
Finland,Lieksa,none,none
Finland,Lohja,none,none
Finland,Loimaa,none,none
Finland,Loviisa,none,none
Finland,Maarianhamina,none,none
Finland,Mikkeli,none,none
Finland,Mänttä-Vilppula,none,none
Finland,Naantali,none,none
Finland,Nivala,none,none
Finland,Nokia,none,none
Finland,Nurmes,none,none
Finland,Uusikaarlepyy,none,none
Finland,Närpiö,none,none
Finland,Orimattila,none,none
Finland,Orivesi,none,none
Finland,Oulainen,none,none
Finland,Oulu,none,none
Finland,Outokumpu,none,none
Finland,Paimio,none,none
Finland,Parainen,none,none
Finland,Parkano,none,none
Finland,Pieksämäki,none,none
Finland,Pori,none,none
Finland,Porvoo,none,none
Finland,Pudasjärvi,none,none
Finland,Pyhäjärvi,none,none
Finland,Raahe,none,none
Finland,Raasepori,none,none
Finland,Raisio,none,none
Finland,Rauma,none,none
Finland,Riihimäki,none,none
Finland,Rovaniemi,none,none
Finland,Saarijärvi,none,none
Finland,Salo,none,none
Finland,Sastamala,none,none
Finland,Savonlinna,none,none
Finland,Seinäjoki,none,none
Finland,Somero,none,none
Finland,Suonenjoki,none,none
Finland,Tampere,none,none
Finland,Tornio,none,none
Finland,Turku,none,none
Finland,Ulvila,none,none
Finland,Uusikaupunki,none,none
Finland,Vaasa,none,none
Finland,Valkeakoski,none,none
Finland,Vantaa,none,none
Finland,Varkaus,none,none
Finland,Viitasaari,none,none
Finland,Virrat,none,none
Finland,Ylivieska,none,none
Finland,Ylöjärvi,none,none
Finland,Ähtäri,none,none
Finland,Äänekoski,none,none
